date,open,high,low,close,adj_close,volume,currency
2023-12-22,1247.569946,1247.569946,1242.218506,1247.569946,1247.569946,0,USD/RWF (RWF=X)
2023-12-21,1238.963135,1242,1238.963135,1242,1242,0,USD/RWF (RWF=X)
2023-12-20,1235.916138,1240.588623,1235.916138,1244,1244,0,USD/RWF (RWF=X)
2023-12-19,1238.070801,1244,1238.070801,1238.615356,1238.615356,0,USD/RWF (RWF=X)
2023-12-18,1245.944702,1245.944702,1238.615356,1244.420044,1244.420044,0,USD/RWF (RWF=X)
2023-12-15,1230.893921,1242,1230.893921,1242,1242,0,USD/RWF (RWF=X)
2023-12-14,1222.238525,1242,1222.238525,1242,1242,0,USD/RWF (RWF=X)
2023-12-13,1235.291992,1235.291992,1235.109497,1234.971558,1234.971558,0,USD/RWF (RWF=X)
2023-12-12,1234.573608,1240,1234.536987,1240,1240,0,USD/RWF (RWF=X)
2023-12-11,1246.186401,1246.186401,1234.143677,1246.475708,1246.475708,0,USD/RWF (RWF=X)
2023-12-08,1231.60498,1244.573853,1231.60498,1237,1237,0,USD/RWF (RWF=X)
2023-12-07,1234.141357,1238,1233.952271,1234.244507,1234.244507,0,USD/RWF (RWF=X)
2023-12-06,1234.32312,1238,1233.293701,1238,1238,0,USD/RWF (RWF=X)
2023-12-05,1233.832153,1233.832153,1231,1231.111938,1231.111938,0,USD/RWF (RWF=X)
2023-12-04,1232.007324,1232.007324,1231.111938,1230.016235,1230.016235,0,USD/RWF (RWF=X)
2023-12-01,1228.64917,1231,1228.64917,1227.720581,1227.720581,0,USD/RWF (RWF=X)
2023-11-30,1228.335693,1230,1227.720581,1231,1231,0,USD/RWF (RWF=X)
2023-11-29,1218.938232,1231,1218.938232,1231,1231,0,USD/RWF (RWF=X)
2023-11-28,1223.595947,1230,1223.595947,1229,1229,0,USD/RWF (RWF=X)
2023-11-27,1218.781372,1229,1218.742432,1218.391846,1218.391846,0,USD/RWF (RWF=X)
2023-11-24,1223.834595,1225,1221.627075,1223.178223,1223.178223,0,USD/RWF (RWF=X)
2023-11-23,1222.200806,1223.178223,1222.200806,1223.394043,1223.394043,0,USD/RWF (RWF=X)
2023-11-22,1223.394043,1223.394043,1223.394043,1225,1225,0,USD/RWF (RWF=X)
2023-11-21,1214.102417,1226,1213.459717,1226,1226,0,USD/RWF (RWF=X)
2023-11-20,1215.986206,1216.852539,1214.83252,1213.608643,1213.608643,0,USD/RWF (RWF=X)
2023-11-17,1218.643555,1219.948853,1218.643555,1225,1225,0,USD/RWF (RWF=X)
2023-11-16,1238.749512,1238.749512,1219.497559,1224,1224,0,USD/RWF (RWF=X)
2023-11-15,1204.378174,1237.112427,1204.378174,1223,1223,0,USD/RWF (RWF=X)
2023-11-14,1214.902588,1222,1214.902588,1231.25,1231.25,0,USD/RWF (RWF=X)
2023-11-13,1214.406738,1217.286255,1214.406738,1211.1427,1211.1427,0,USD/RWF (RWF=X)
2023-11-10,1216.851929,1221,1215.282349,1221,1221,0,USD/RWF (RWF=X)
2023-11-09,1210.429565,1220,1210.429565,1220,1220,0,USD/RWF (RWF=X)
2023-11-08,1211.877441,1215.13147,1211.877441,1218,1218,0,USD/RWF (RWF=X)
2023-11-07,1213.685791,1218,1213.017578,1218,1218,0,USD/RWF (RWF=X)
2023-11-06,1204.639526,1219,1204.235352,1203.539795,1203.539795,0,USD/RWF (RWF=X)
2023-11-03,1224.12085,1224.12085,1212.707153,1220.667358,1220.667358,0,USD/RWF (RWF=X)
2023-11-02,1221.968994,1221.968994,1220.667358,1218,1218,0,USD/RWF (RWF=X)
2023-11-01,1227.691772,1227.691772,1227.691772,1217,1217,0,USD/RWF (RWF=X)
2023-10-31,1212.075562,1227.616699,1212.075562,1217,1217,0,USD/RWF (RWF=X)
2023-10-30,1209.849243,1213.980591,1209.849243,1207.996582,1207.996582,0,USD/RWF (RWF=X)
2023-10-27,1207.907471,1211.782104,1207.907471,1214,1214,0,USD/RWF (RWF=X)
2023-10-26,1221.401489,1221.401489,1210.34375,1214,1214,0,USD/RWF (RWF=X)
2023-10-25,1228.676392,1228.676392,1219.726685,1215,1215,0,USD/RWF (RWF=X)
2023-10-24,1200.490967,1225.021851,1199.030396,1213,1213,0,USD/RWF (RWF=X)
2023-10-23,1207.035034,1213,1207.035034,1205.054443,1205.054443,0,USD/RWF (RWF=X)
2023-10-20,1225.497192,1225.497192,1207.052124,1212,1212,0,USD/RWF (RWF=X)
2023-10-19,1207.98938,1227.871582,1207.98938,1206.106812,1206.106812,0,USD/RWF (RWF=X)
2023-10-18,1204.210327,1206.106812,1204.210327,1210,1210,0,USD/RWF (RWF=X)
2023-10-17,1202.550293,1211,1202.550293,1211,1211,0,USD/RWF (RWF=X)
2023-10-16,1204.837646,1210,1204.837646,1205.307495,1205.307495,0,USD/RWF (RWF=X)
2023-10-13,1213.665283,1213.665283,1204.797485,1210,1210,0,USD/RWF (RWF=X)
2023-10-12,1202.142578,1205,1202.142578,1205,1205,0,USD/RWF (RWF=X)
2023-10-11,1201.428711,1204.665894,1201.428711,1210,1210,0,USD/RWF (RWF=X)
2023-10-10,1215.709961,1215.709961,1204.163696,1220.454834,1220.454834,0,USD/RWF (RWF=X)
2023-10-09,1201.006348,1220.454834,1201.006348,1197.64209,1197.64209,0,USD/RWF (RWF=X)
2023-10-06,1196.946045,1203.288208,1196.946045,1196.401367,1196.401367,0,USD/RWF (RWF=X)
2023-10-05,1198.232056,1207,1197.628662,1207,1207,0,USD/RWF (RWF=X)
2023-10-04,1199.512939,1205,1198.989868,1205,1205,0,USD/RWF (RWF=X)
2023-10-03,1212.005493,1212.005493,1199.547363,1204,1204,0,USD/RWF (RWF=X)
2023-10-02,1212.029419,1212.029419,1201,1209.464844,1209.464844,0,USD/RWF (RWF=X)
2023-09-29,1209.404907,1209.404907,1208.169556,1201,1201,0,USD/RWF (RWF=X)
2023-09-28,1212.526733,1212.526733,1200,1200,1200,0,USD/RWF (RWF=X)
2023-09-27,1205.018921,1209.037231,1185,1185,1185,0,USD/RWF (RWF=X)
2023-09-26,1194.716553,1200.936157,1190,1190,1190,0,USD/RWF (RWF=X)
2023-09-25,1195.881714,1195.881714,1188.222046,1193.797729,1193.797729,0,USD/RWF (RWF=X)
2023-09-22,1184.821655,1197.877197,1184.821655,1193,1193,0,USD/RWF (RWF=X)
2023-09-21,1193.152466,1193.152466,1186.324463,1190,1190,0,USD/RWF (RWF=X)
2023-09-20,1186.694458,1186.694458,1185,1185,1185,0,USD/RWF (RWF=X)
2023-09-19,1181.142822,1184.969849,1181.142822,1190,1190,0,USD/RWF (RWF=X)
2023-09-18,1191.165527,1191.165527,1183.340454,1190.987061,1190.987061,0,USD/RWF (RWF=X)
2023-09-15,1195.380493,1195.380493,118,1197,1197,0,USD/RWF (RWF=X)
2023-09-14,1190.726685,1190.726685,1184.886475,1186,1186,0,USD/RWF (RWF=X)
2023-09-13,1186.032715,1191.741943,1186.032715,1186,1186,0,USD/RWF (RWF=X)
2023-09-12,1189.035767,1191.119629,1189.035767,1188.57666,1188.57666,0,USD/RWF (RWF=X)
2023-09-11,1188.791626,1191.231079,1185,1188.780518,1188.780518,0,USD/RWF (RWF=X)
